t	bincall	amcall	binput	amput
1.136986301	78.65976867	78.65976867	54.54443635	56.08228021
1.145205479	78.92421682	78.92421682	54.71047201	56.26213965
1.153424658	79.18761814	79.18761814	54.87550371	56.44100361
1.161643836	79.44998293	79.44998293	55.03954172	56.61888227
1.169863014	79.71132131	79.71132131	55.20259614	56.79578562
1.178082192	79.97164324	79.97164324	55.36467691	56.97172347
1.18630137	80.23095849	80.23095849	55.52579379	57.14670548
1.194520548	80.48927668	80.48927668	55.68595638	57.32074114
1.202739726	80.74660727	80.74660727	55.84517412	57.49383977
1.210958904	81.00295956	81.00295956	56.00345628	57.66601057
1.219178082	81.25834269	81.25834269	56.160812	57.83732806
1.22739726	81.51276566	81.51276566	56.31725025	58.0083203
1.235616438	81.76623733	81.76623733	56.47277987	58.17841327
1.243835616	82.01876639	82.01876639	56.62740955	58.34761553
1.252054795	82.27036143	82.27036143	56.78114784	58.51593551
1.260273973	82.52103087	82.52103087	56.93400314	58.68375968
1.268493151	82.770783	82.770783	57.08598375	58.85116886
1.276712329	83.01962601	83.01962601	57.23709781	59.0177221
1.284931507	83.26756794	83.26756794	57.38735334	59.18342729
1.293150685	83.51461669	83.51461669	57.53675825	59.34829219
1.301369863	83.76078007	83.76078007	57.68532031	59.51232445
1.309589041	84.00606575	84.00606575	57.83304718	59.6755316
1.317808219	84.25048129	84.25048129	57.9799464	59.83792105
1.326027397	84.49403414	84.49403414	58.1260254	59.99950011
1.334246575	84.73673163	84.73673163	58.2712915	60.16027596
1.342465753	84.97858099	84.97858099	58.41575189	60.32025569
1.350684932	85.21958933	85.21958933	58.55941368	60.47944628
1.35890411	85.45976367	85.45976367	58.70228387	60.63785461
1.367123288	85.69911092	85.69911092	58.84436935	60.79548744
1.375342466	85.93763789	85.93763789	58.9856769	60.95235145
1.383561644	86.17535129	86.17535129	59.12621323	61.10845322
1.391780822	86.41225774	86.41225774	59.26598493	61.26379924
1.4	86.64836376	86.64836376	59.4049985	61.41839589
1.408219178	86.88367578	86.88367578	59.54326036	61.57224947
1.416438356	87.11820013	87.11820013	59.68077682	61.7253662
1.424657534	87.35194308	87.35194308	59.81755411	61.8777522
1.432876712	87.58491077	87.58491077	59.95359839	62.02941351
1.44109589	87.81710929	87.81710929	60.08891571	62.18035607
1.449315068	88.04854463	88.04854463	60.22351205	62.33058576
1.457534247	88.27922271	88.27922271	60.35739329	62.48010838
1.465753425	88.50914935	88.50914935	60.49056526	62.62892962
1.473972603	88.73833031	88.73833031	60.62303368	62.77705513
1.482191781	88.96677127	88.96677127	60.75480422	62.92449046
1.490410959	89.19447783	89.19447783	60.88588246	63.07148626
1.498630137	89.4214555	89.4214555	61.01627391	63.21837148
1.506849315	89.64770975	89.64770975	61.14598399	63.36458381
1.515068493	89.87324595	89.87324595	61.27501807	63.51012849
1.523287671	90.09806941	90.09806941	61.40338145	63.6550107
1.531506849	90.32218539	90.32218539	61.53107934	63.79926696
1.539726027	90.54559904	90.54559904	61.65811691	63.94328523
1.547945205	90.76831549	90.76831549	61.78449924	64.08665733
1.556164384	90.99033976	90.99033976	61.91023136	64.22938818
1.564383562	91.21167685	91.21167685	62.03531823	64.37148262
1.57260274	91.43233166	91.43233166	62.15976474	64.51294544
1.580821918	91.65230906	91.65230906	62.28357573	64.65378137
1.589041096	91.87161382	91.87161382	62.40675598	64.79399506
1.597260274	92.0902507	92.0902507	62.52931021	64.93359114
1.605479452	92.30822436	92.30822436	62.65124306	65.07257414
1.61369863	92.52553942	92.52553942	62.77255913	65.21094857
1.621917808	92.74220044	92.74220044	62.89326299	65.34871885
1.630136986	92.95821192	92.95821192	63.0133591	65.48588939
1.638356164	93.17357833	93.17357833	63.1328519	65.6224645
1.646575342	93.38830406	93.38830406	63.25174578	65.75844846
1.654794521	93.60239345	93.60239345	63.37004505	65.89384551
1.663013699	93.81585079	93.81585079	63.487754	66.02865981
1.671232877	94.02868034	94.02868034	63.60487685	66.1628955
1.679452055	94.24088627	94.24088627	63.72141777	66.29655665
1.687671233	94.45247274	94.45247274	63.8373809	66.42964729
1.695890411	94.66344384	94.66344384	63.9527703	66.56217141
1.704109589	94.87380362	94.87380362	64.06759	66.69413293
1.712328767	95.08355608	95.08355608	64.181844	66.82553575
1.720547945	95.29270517	95.29270517	64.29553622	66.95638371
1.728767123	95.50125481	95.50125481	64.40867055	67.08668062
1.736986301	95.70920885	95.70920885	64.52125085	67.21643022
1.745205479	95.91657112	95.91657112	64.63328092	67.34563623
1.753424658	96.12334541	96.12334541	64.74476451	67.47430233
1.761643836	96.32953543	96.32953543	64.85570535	67.60243214
1.769863014	96.5351449	96.5351449	64.96610711	67.73002926
1.778082192	96.74017745	96.74017745	65.07597343	67.85709723
1.78630137	96.94463671	96.94463671	65.18530791	67.98363956
1.794520548	97.14852626	97.14852626	65.29411408	68.10965972
1.802739726	97.35184961	97.35184961	65.40239549	68.23516115
1.810958904	97.55461027	97.55461027	65.51015559	68.36014723
1.819178082	97.7568117	97.7568117	65.61739783	68.48462133
1.82739726	97.95845731	97.95845731	65.72412562	68.60858678
1.835616438	98.1595505	98.1595505	65.83034232	68.73247732
1.843835616	98.3600946	98.3600946	65.93605125	68.85636689
1.852054795	98.56009293	98.56009293	66.04125572	68.97975908
1.860273973	98.75954877	98.75954877	66.14595898	69.10265705
1.868493151	98.95846536	98.95846536	66.25016426	69.22506395
1.876712329	99.15684591	99.15684591	66.35387475	69.34698288
1.884931507	99.35469359	99.35469359	66.45709359	69.46841689
1.893150685	99.55201155	99.55201155	66.55982393	69.58936902
1.901369863	99.74880289	99.74880289	66.66206884	69.70984229
1.909589041	99.94507069	99.94507069	66.7638314	69.82983965
1.917808219	100.140818	100.140818	66.86511462	69.94936406
1.926027397	100.3360478	100.3360478	66.9659215	70.06841842
1.934246575	100.5307632	100.5307632	67.06625502	70.18700561
1.942465753	100.724967	100.724967	67.1661181	70.3051285
1.950684932	100.9186622	100.9186622	67.26551365	70.42278989
1.95890411	101.1118516	101.1118516	67.36444456	70.53999258
1.967123288	101.3045382	101.3045382	67.46291366	70.65673935
