n	Monte-Carlo	Black-Scholes
4190	9.824912252	10.02906298
4200	9.815874836	10.02906298
4210	9.800427094	10.02906298
4220	9.794835094	10.02906298
4230	9.802121017	10.02906298
4240	9.797015582	10.02906298
4250	9.78974552	10.02906298
4260	9.77876131	10.02906298
4270	9.782509787	10.02906298
4280	9.824422491	10.02906298
4290	9.827235401	10.02906298
4300	9.840272048	10.02906298
4310	9.834555804	10.02906298
4320	9.848102786	10.02906298
4330	9.850632293	10.02906298
4340	9.856158826	10.02906298
4350	9.86977018	10.02906298
4360	9.859609132	10.02906298
4370	9.858626448	10.02906298
4380	9.863321229	10.02906298
4390	9.846481376	10.02906298
4400	9.855572738	10.02906298
4410	9.846699024	10.02906298
4420	9.863973913	10.02906298
4430	9.87785715	10.02906298
4440	9.897066751	10.02906298
4450	9.918984272	10.02906298
4460	9.913304884	10.02906298
4470	9.915240644	10.02906298
4480	9.913794718	10.02906298
4490	9.898642835	10.02906298
4500	9.89922519	10.02906298
4510	9.902068871	10.02906298
4520	9.903654932	10.02906298
4530	9.901822204	10.02906298
4540	9.890692596	10.02906298
4550	9.904376645	10.02906298
4560	9.896103755	10.02906298
4570	9.906366495	10.02906298
4580	9.906160481	10.02906298
4590	9.893364712	10.02906298
4600	9.88981121	10.02906298
4610	9.892321114	10.02906298
4620	9.916322368	10.02906298
4630	9.913047365	10.02906298
4640	9.908357442	10.02906298
4650	9.901087218	10.02906298
4660	9.888518096	10.02906298
4670	9.871145367	10.02906298
4680	9.87023704	10.02906298
4690	9.849511182	10.02906298
4700	9.852262005	10.02906298
4710	9.850874507	10.02906298
4720	9.853432028	10.02906298
4730	9.886116999	10.02906298
4740	9.88108225	10.02906298
4750	9.880025451	10.02906298
4760	9.873777727	10.02906298
4770	9.881120654	10.02906298
4780	9.887586495	10.02906298
4790	9.881196186	10.02906298
4800	9.873285527	10.02906298
4810	9.879675436	10.02906298
4820	9.872400776	10.02906298
4830	9.882906242	10.02906298
4840	9.871115785	10.02906298
4850	9.86034547	10.02906298
4860	9.870330905	10.02906298
4870	9.872291679	10.02906298
4880	9.870014204	10.02906298
4890	9.878669847	10.02906298
4900	9.884261326	10.02906298
4910	9.88072803	10.02906298
4920	9.882508144	10.02906298
